CBT0108M0003	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动
JMZ0118M0012	马自达#马自达汽车#626#626-Hacthback [626-两厢]#1.8 手动 90hp
JMZ0118M0011	马自达#马自达汽车#626#626-Hacthback [626-两厢]#1.8 手动 100hp
JMZ0119A0008	马自达#马自达汽车#626#626-Hacthback [626-两厢]#1.9 自动
JMZ0119M0008	马自达#马自达汽车#626#626-Hacthback [626-两厢]#1.9 手动
JMZ0120A0013	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 自动 115hp
JMZ0120A0014	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 自动 136hp
JMZ0120A0020	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 自动
JMZ0120M0027	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 手动 DIT 110hp
JMZ0120M0024	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 手动 115hp
JMZ0120M0025	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 手动 136hp
JMZ0120M0039	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 手动
JMZ0120M0040	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0TDi 手动
JMZ0125A0008	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.5 自动
JMZ0125M0008	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.5 手动
JMZ0120M0026	马自达#马自达汽车#626#626-Hacthback [626-两厢]#2.0 手动 DIT 100hp
JMZ0118M0024	马自达#马自达汽车#626#626-Sedan [626-三厢]#1.8 手动 90hp
JMZ0118M0023	马自达#马自达汽车#626#626-Sedan [626-三厢]#1.8 手动 100hp
JMZ0119M0014	马自达#马自达汽车#626#626-Sedan [626-三厢]#1.9 手动
JMZ0120A0033	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 自动 115hp
JMZ0120A0034	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 自动 136hp
JMZ0120A0039	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 自动
JMZ0120M0067	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 手动 DIT 110hp
JMZ0120M0064	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 手动 115hp
JMZ0120M0065	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 手动 136hp
JMZ0120M0075	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 手动
JMZ0120M0076	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0TDi 手动
JMZ0120M0066	马自达#马自达汽车#626#626-Sedan [626-三厢]#2.0 手动 DIT 100hp
JMZ0240A0004	马自达#马自达汽车#Navajo#Navajo#4.0 自动
JMZ0240M0004	马自达#马自达汽车#Navajo#Navajo#4.0 手动
JMZ0325A0005	马自达#马自达汽车#929#929#2.5 自动
JMZ0330A0005	马自达#马自达汽车#929#929#3.0 自动 HD10E1
JMZ0420M0006	马自达#马自达汽车#MX-6#MX-6#2.0 手动
JMZ0425M0006	马自达#马自达汽车#MX-6#MX-6#2.5 手动
JMZ0526M0032	马自达#马自达汽车#RX-7#RX-7#2.6 手动 236hp
JMZ0526M0031	马自达#马自达汽车#RX-7#RX-7#2.6 手动 255hp
JMZ0526M0033	马自达#马自达汽车#RX-7#RX-7#2.6 手动 276hp
JMZ0620A0010	马自达#马自达汽车#Millenia#Millenia#2.0 自动
JMZ0620M0010	马自达#马自达汽车#Millenia#Millenia#2.0 手动
JMZ0623A0010	马自达#马自达汽车#Millenia#Millenia#2.3 自动
JMZ0623M0010	马自达#马自达汽车#Millenia#Millenia#2.3 手动
JMZ0625A0010	马自达#马自达汽车#Millenia#Millenia#2.5 自动
JMZ0625M0010	马自达#马自达汽车#Millenia#Millenia#2.5 手动
JMZ0714M0004	马自达#马自达汽车#323#323-Hatchback [323-两厢]#1.4 手动
JMZ0720M0004	马自达#马自达汽车#323#323-Hatchback [323-两厢]#2.0 手动
JMZ0715M0004	马自达#马自达汽车#323#323-Hatchback [323-两厢]#1.5 手动
JMZ0916M0008	马自达#马自达汽车#MX-5#MX-5#1.6 手动
JSK0416M0002	铃木#铃木汽车#X-90#X-90#1.6 手动
EMS0132M0006	玛莎拉蒂#玛莎拉蒂#3200GT#3200GT#3.2 手动
JOG0218A0008	讴歌#本田汽车#Integra#Integra Coupe#1.8 自动 RS
JOG0218M0016	讴歌#本田汽车#Integra#Integra Coupe#1.8 手动 RS
JOG0218M0015	讴歌#本田汽车#Integra#Integra Coupe#1.8 手动 GS-R
JOG0218A0016	讴歌#本田汽车#Integra#Integra-Sedan [Integra-三厢]#1.8 自动
JOG0218M0024	讴歌#本田汽车#Integra#Integra-Sedan [Integra-三厢]#1.8 手动
JOG0325A0004	讴歌#本田汽车#TL#TL#2.5 自动
JOG0435A0003	讴歌#本田汽车#SLX#SLX#3.5 自动
JOG0432A0002	讴歌#本田汽车#SLX#SLX#3.2 自动
JOG0522M0005	讴歌#本田汽车#CL#CL#2.2 手动
JOG0530A0005	讴歌#本田汽车#CL#CL#3.0 自动
AGO0112M0013	欧宝#通用汽车#Astra [雅特]#Astra-Hacthback [雅特-两厢]#1.2i 手动 三门版
AGO0112M0014	欧宝#通用汽车#Astra [雅特]#Astra-Hacthback [雅特-两厢]#1.2 手动 12V 五门版
AGO0112M0021	欧宝#通用汽车#Astra [雅特]#Astra Tourer [雅特 旅行车]#1.2 手动
AGO0217M0018	欧宝#通用汽车#Vectra [威达]#Vectra [威达]#1.7T 手动 柴油版
AGO0217M0020	欧宝#通用汽车#Vectra [威达]#Vectra [威达]#1.7 手动 柴油版
AGO0217M0019	欧宝#通用汽车#Vectra [威达]#Vectra-Hatchback [威达-两厢]#1.7 手动 柴油版
AGO0217M0017	欧宝#通用汽车#Vectra [威达]#Vectra-Hatchback [威达-两厢]#1.7T 手动 柴油版
AGO0315M0025	欧宝#通用汽车#Corsa [可赛]#Corsa [可赛]#1.5T 手动 三门 柴油版
AGO0315M0024	欧宝#通用汽车#Corsa [可赛]#Corsa [可赛]#1.5 手动 五门 柴油版
AGO0315M0026	欧宝#通用汽车#Corsa [可赛]#Corsa [可赛]#1.5T 手动 五门 柴油版
AGO0315M0023	欧宝#通用汽车#Corsa [可赛]#Corsa [可赛]#1.5 手动 三门 柴油版
AGO0416M0007	欧宝#通用汽车#Tigra#Tigra#1.6i 手动
KQY0215M0006	起亚#起亚汽车#Capital [首都]#Capital [首都]#1.5 手动
KQY0218M0006	起亚#起亚汽车#Capital [首都]#Capital [首都]#1.8 手动
KQY0315A0004	起亚#起亚汽车#Sephia#Sephia#1.5 自动
KQY0315M0004	起亚#起亚汽车#Sephia#Sephia#1.5 手动
KQY0316M0004	起亚#起亚汽车#Sephia#Sephia#1.6 手动
KQY0318A0004	起亚#起亚汽车#Sephia#Sephia#1.8 自动
KQY0418M0007	起亚#起亚汽车#Pregio [贝斯塔]#Pregio [贝斯塔]#1.8 手动 柴油
KQY0515M0004	起亚#起亚汽车#Shuma [速迈]#Shuma [速迈]#1.5 手动
KQY0518M0004	起亚#起亚汽车#Shuma [速迈]#Shuma [速迈]#1.8 手动
JNS0214M0005	日产#日产汽车#Pulsar#Pulsar#1.4T 手动
JNS0216M0005	日产#日产汽车#Pulsar#Pulsar#1.6T 手动
JNS0220M0005	日产#日产汽车#Pulsar#Pulsar D#2.0T 手动
JNS0223M0005	日产#日产汽车#Pulsar#Pulsar GTI R#2.3T 手动
JNS0341A0010	日产#日产汽车#Cima [西玛]#Cima [西玛]#4.1 自动
JNS0430M0014	日产#日产汽车#300ZX#300ZX#3.0T 手动 V6
JNS0430M0013	日产#日产汽车#300ZX#300ZX#3.0 手动 V6
JNS0516M0006	日产#日产汽车#NX#100NX#1.6 手动
JNS0520M0006	日产#日产汽车#NX#100NX GTI#2.0T 手动
JNS0620A0008	日产#日产汽车#Cedric [公爵王]#Cedric [公爵王]#2.0 自动 V6
JNS0628A0004	日产#日产汽车#Cedric [公爵王]#Cedric [公爵王]#2.8 自动 D
JNS1024A0009	日产#日产汽车#Altima [奥蒂玛]#Altima [奥蒂玛]#2.4 自动
JNS1120A0010	日产#日产汽车#Medalist [桂冠]#Medalist [桂冠]#2.0 自动
JNS1125A0019	日产#日产汽车#Medalist [桂冠]#Medalist [桂冠]#2.5 自动
JNS1125A0020	日产#日产汽车#Medalist [桂冠]#Medalist [桂冠]#2.5T 自动
JNS1128A0010	日产#日产汽车#Medalist [桂冠]#Medalist [桂冠]#2.8 自动 D
JNS1214M0005	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#1.4 手动
JNS1216M0005	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#1.6 手动
JNS1216M0006	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#1.6 手动 三门
JNS1220M0005	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#2.0T 手动 柴油
JNS1220M0006	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#2.0T 手动 柴油三门
JNS1214M0006	日产#日产汽车#Sunny [阳光]#Sunny-Hatchback [阳光-两厢]#1.4 手动 三门
JNS1216M0012	日产#日产汽车#Sunny [阳光]#Sunny-Sedan [阳光-三厢]#1.6 手动
JNS1218A0004	日产#日产汽车#Sunny [阳光]#Sunny-Sedan [阳光-三厢]#1.8 自动
JNS1220M0012	日产#日产汽车#Sunny [阳光]#Sunny-Sedan [阳光-三厢]#2.0T 手动 柴油
JNS1214M0009	日产#日产汽车#Sunny [阳光]#Sunny-Sedan [阳光-三厢]#1.4 手动
JNS1414A0006	日产#日产汽车#Almera#Almera-Hacthback [Almera-两厢]#1.4 自动 Si
JNS1628A0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#2.8T 自动 柴油
JNS1628M0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#2.8T 手动 柴油
JNS1642A0006	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.2T 自动 柴油
JNS1642M0006	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.2T 手动 柴油
JNS1645A0006	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.5 自动 V6
JNS1645A0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.5 自动 汽油 Y61
JNS1645M0006	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.5 手动 V6
JNS1628M0008	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#2.8T 手动 柴油 Y61
JNS1645M0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.5 手动 汽油 Y61
JNS1642A0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.2T 自动 柴油 Y61
JNS1642M0007	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#4.2T 手动 柴油 Y61
JNS1628A0008	日产#日产汽车#Patrol [途乐]#Patrol [途乐]#2.8T 自动 柴油 Y61
JNS1720C0007	日产#日产汽车#Axxess#Axxess#2.0 无级
JNS1824M0003	日产#日产汽车#Frontier#Frontier#2.4 手动 两门前驱
JNS1216M0009	日产#日产汽车#Sunny [阳光]#Sunny Wagon [阳光 旅行版]#1.6 手动
JNS1220M0009	日产#日产汽车#Sunny [阳光]#Sunny Wagon [阳光 旅行版]#2.0T 手动 柴油
AGS0118M0006	萨博#通用汽车#9000#9000#1.8 手动
AGS0120A0026	萨博#通用汽车#9000#9000#2.0i 自动 147hp CS
AGS0120A0018	萨博#通用汽车#9000#9000#2.0T 自动 CD
AGS0120A0028	萨博#通用汽车#9000#9000#2.0T 自动 CS
AGS0120A0027	萨博#通用汽车#9000#9000#2.0i 自动 150hp CS
AGS0120M0039	萨博#通用汽车#9000#9000#2.0i 手动 130hp CS
AGS0120M0025	萨博#通用汽车#9000#9000#2.0i 手动 130hp CD
AGS0120M0038	萨博#通用汽车#9000#9000#2.0i 手动 150hp CS
AGS0120M0037	萨博#通用汽车#9000#9000#2.0i 手动 147hp CS
AGS0120M0040	萨博#通用汽车#9000#9000#2.0T 手动 CS
AGS0123A0036	萨博#通用汽车#9000#9000#2.3T 自动 170hp CS
AGS0123A0026	萨博#通用汽车#9000#9000#2.3T 自动 170hp CD
AGS0123A0035	萨博#通用汽车#9000#9000#2.3T 自动 Aero CS
AGS0123A0024	萨博#通用汽车#9000#9000#2.3i 自动 CD
AGS0123A0034	萨博#通用汽车#9000#9000#2.3T 自动 200hp CS
AGS0123M0035	萨博#通用汽车#9000#9000#2.3T 手动 200hp CS
AGS0123M0024	萨博#通用汽车#9000#9000#2.3T 手动 200hp CD
AGS0123M0034	萨博#通用汽车#9000#9000#2.3T 手动 Aero CS
AGS0123M0022	萨博#通用汽车#9000#9000#2.3i 手动 CD
AGS0123M0036	萨博#通用汽车#9000#9000#2.3T 手动 170hp CS
AGS0130A0012	萨博#通用汽车#9000#9000#3.0i 自动 V6 CS
AGS0130A0008	萨博#通用汽车#9000#9000#3.0i 自动 V6 CD
AGS0130M0008	萨博#通用汽车#9000#9000#3.0i 手动 V6 CD
AGS0130M0012	萨博#通用汽车#9000#9000#3.0i 手动 V6 CS
AGS0120M0027	萨博#通用汽车#9000#9000#2.0T 手动 CD
AGS0123A0022	萨博#通用汽车#9000#9000#2.3T 自动 200hp CD
AGS0123M0026	萨博#通用汽车#9000#9000#2.3T 手动 170hp CD
AGS0220A0018	萨博#通用汽车#900#900#2.0 自动 两门版
AGS0220A0022	萨博#通用汽车#900#900#2.0T 自动
AGS0220A0020	萨博#通用汽车#900#900#2.0T 自动 两门版
AGS0220A0021	萨博#通用汽车#900#900#2.0 自动
AGS0220M0021	萨博#通用汽车#900#900#2.0 手动
AGS0220M0018	萨博#通用汽车#900#900#2.0 手动 两门版
AGS0220M0022	萨博#通用汽车#900#900#2.0T 手动
AGS0220M0020	萨博#通用汽车#900#900#2.0T 手动 两门版
AGS0223A0011	萨博#通用汽车#900#900#2.3 自动
AGS0223A0010	萨博#通用汽车#900#900#2.3 自动 两门版
AGS0223M0010	萨博#通用汽车#900#900#2.3 手动 两门版
AGS0223M0011	萨博#通用汽车#900#900#2.3 手动
AGS0225A0011	萨博#通用汽车#900#900#2.5 自动
AGS0225A0010	萨博#通用汽车#900#900#2.5 自动 两门版
AGS0225M0011	萨博#通用汽车#900#900#2.5 手动
AGS0225M0010	萨博#通用汽车#900#900#2.5 手动 两门版
JNS1324M0001	日产#日产汽车#Stanza [蓝鸟]#Stanza-U [蓝鸟-北美版]#2.4 手动
JMT0118M0005	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#1.8 手动
JMT0120A0005	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0T 自动 182hp
JMT0120M0010	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0T 手动
JMT0120M0009	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0 手动
JMT0120M0028	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0 手动 152hp
JMT0120M0029	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0T 手动 192hp
JMT0120M0030	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0T 手动 198hp
JMT0120M0027	三菱#三菱汽车#Eclipse [伊柯丽斯]#Eclipse [伊柯丽斯]#2.0 手动 137hp
JMT0230A0012	三菱#三菱汽车#GTO#GTO#3.0T 自动
JMT0315A0012	三菱#三菱汽车#Mirage#Mirage#1.5 自动
JMT0315M0012	三菱#三菱汽车#Mirage#Mirage#1.5 手动
JMT0316A0012	三菱#三菱汽车#Mirage#Mirage#1.6 自动
JMT0316M0012	三菱#三菱汽车#Mirage#Mirage#1.6 手动
JMT0318A0012	三菱#三菱汽车#Mirage#Mirage#1.8 自动
JMT0318M0012	三菱#三菱汽车#Mirage#Mirage#1.8 手动
JMT0418A0012	三菱#三菱汽车#Space [太空]#Space [太空]#1.8 自动
JMT0418M0023	三菱#三菱汽车#Space [太空]#Space [太空]#1.8 手动
JMT0418M0024	三菱#三菱汽车#Space [太空]#Space [太空]#1.8 手动 GDI
JMT0420A0012	三菱#三菱汽车#Space [太空]#Space [太空]#2.0 自动
JMT0420M0023	三菱#三菱汽车#Space [太空]#Space [太空]#2.0 手动 GDI
JMT0420M0024	三菱#三菱汽车#Space [太空]#Space [太空]#2.0 手动
JMT0424A0012	三菱#三菱汽车#Space [太空]#Space [太空]#2.4 自动
JMT0424M0024	三菱#三菱汽车#Space [太空]#Space [太空]#2.4 手动 GDI
JMT0424M0023	三菱#三菱汽车#Space [太空]#Space [太空]#2.4 手动
JMT0530A0006	三菱#三菱汽车#Sigma [西格玛]#Sigma [西格玛]#3.0 自动
JMT0530M0006	三菱#三菱汽车#Sigma [西格玛]#Sigma [西格玛]#3.0 手动 DOHC
JMT0724M0004	三菱#三菱汽车#Pajero [帕杰罗]#Pajero [帕杰罗]#2.4 手动 GLX
JMT0820M0016	三菱#三菱汽车#Galant [戈蓝]#Galant [戈蓝]#2.0T 手动 柴油
JMT0820M0015	三菱#三菱汽车#Galant [戈蓝]#Galant [戈蓝]#2.0 手动
JMT0825M0008	三菱#三菱汽车#Galant [戈蓝]#Galant [戈蓝]#2.5 手动
JMT0830A0008	三菱#三菱汽车#Galant [戈蓝]#Galant [戈蓝]#3.0 自动
JMT1130A0006	三菱#三菱汽车#Expo#Expo#3.0 自动
KSL0123A0012	双龙#双龙汽车#Chairman [主席]#Chairman [主席]#2.3 自动
KSL0223A0011	双龙#双龙汽车#Korando [柯兰多]#Korando [柯兰多]#2.3 自动 四驱版
KSL0229A0011	双龙#双龙汽车#Korando [柯兰多]#Korando [柯兰多]#2.9T 自动 柴油
KSL0232A0011	双龙#双龙汽车#Korando [柯兰多]#Korando [柯兰多]#3.2 自动 四驱版
JSB0107C0018	斯巴鲁#斯巴鲁汽车#Vivio [小公主]#Vivio [小公主]#0.7 无级 五门版
JSB0107C0017	斯巴鲁#斯巴鲁汽车#Vivio [小公主]#Vivio [小公主]#0.7 无级 三门版
JSB0107M0017	斯巴鲁#斯巴鲁汽车#Vivio [小公主]#Vivio [小公主]#0.7 手动 三门版
JSB0107M0018	斯巴鲁#斯巴鲁汽车#Vivio [小公主]#Vivio [小公主]#0.7 手动 五门版
JSB0218A0006	斯巴鲁#斯巴鲁汽车#Impreza [翼豹]#Impreza-Sedan [翼豹-三厢]#1.8 自动
JSB0218M0006	斯巴鲁#斯巴鲁汽车#Impreza [翼豹]#Impreza-Sedan [翼豹-三厢]#1.8 手动
RVV0123A0002	沃尔沃#沃尔沃汽车#240#240 Travel#2.3 自动 SE后驱
RVV0123M0013	沃尔沃#沃尔沃汽车#240#240 Travel#2.3 手动 Base后驱
RVV0123M0014	沃尔沃#沃尔沃汽车#240#240 Travel#2.3 手动 DL后驱
RVV0123M0007	沃尔沃#沃尔沃汽车#240#240#2.3 手动 Base后驱
RVV0123M0008	沃尔沃#沃尔沃汽车#240#240#2.3 手动 DL后驱
RVV0123M0004	沃尔沃#沃尔沃汽车#240#240#2.3 手动 GL后驱
RVV0223A0003	沃尔沃#沃尔沃汽车#740#740#2.3 自动 Base后驱
RVV0223M0008	沃尔沃#沃尔沃汽车#740#740#2.3 手动 Base后驱
RVV0223M0009	沃尔沃#沃尔沃汽车#740#740#2.3 手动 GLE后驱
RVV0223A0004	沃尔沃#沃尔沃汽车#740#740#2.3T 自动 SE后驱
RVV0223M0010	沃尔沃#沃尔沃汽车#740#740#2.3 手动 GL后驱
RVV0223M0011	沃尔沃#沃尔沃汽车#740#740#2.3T 手动 后驱
RVV0223A0010	沃尔沃#沃尔沃汽车#740#740 Travel#2.3 自动 GL后驱
RVV0223A0011	沃尔沃#沃尔沃汽车#740#740 Travel#2.3T 自动 SE后驱
RVV0223M0022	沃尔沃#沃尔沃汽车#740#740 Travel#2.3 手动 GL后驱
RVV0223M0023	沃尔沃#沃尔沃汽车#740#740 Travel#2.3T 手动 后驱
RVV0223A0012	沃尔沃#沃尔沃汽车#740#740 Travel#2.3T 自动 后驱
RVV0223M0020	沃尔沃#沃尔沃汽车#740#740 Travel#2.3 手动 Base后驱
RVV0223A0009	沃尔沃#沃尔沃汽车#740#740 Travel#2.3 自动 Base后驱
RVV0223M0021	沃尔沃#沃尔沃汽车#740#740 Travel#2.3 手动 GLE后驱
RVV0320M0017	沃尔沃#沃尔沃汽车#940#940#2.0 手动
RVV0320M0018	沃尔沃#沃尔沃汽车#940#940#2.0T 手动
RVV0323A0041	沃尔沃#沃尔沃汽车#940#940#2.3 自动 131hp
RVV0323A0042	沃尔沃#沃尔沃汽车#940#940#2.3 自动 155hp
RVV0323M0042	沃尔沃#沃尔沃汽车#940#940#2.3 手动 116hp
RVV0323M0046	沃尔沃#沃尔沃汽车#940#940#2.3T 手动 165hp
RVV0324A0027	沃尔沃#沃尔沃汽车#940#940#2.4T 自动 109hp柴油版
RVV0324A0026	沃尔沃#沃尔沃汽车#940#940#2.4 自动 D 82hp柴油版
RVV0324A0028	沃尔沃#沃尔沃汽车#940#940#2.4T 自动 122hp柴油版
RVV0324M0029	沃尔沃#沃尔沃汽车#940#940#2.4T 手动 122hp柴油版
RVV0324M0028	沃尔沃#沃尔沃汽车#940#940#2.4T 手动 109hp柴油版
RVV0324M0027	沃尔沃#沃尔沃汽车#940#940#2.4 手动 D 82hp柴油版
RVV0323A0043	沃尔沃#沃尔沃汽车#940#940#2.3T 自动 135hp
RVV0323M0043	沃尔沃#沃尔沃汽车#940#940#2.3 手动 131hp
RVV0323A0040	沃尔沃#沃尔沃汽车#940#940#2.3 自动 116hp
RVV0323M0045	沃尔沃#沃尔沃汽车#940#940#2.3T 手动 135hp
RVV0323A0044	沃尔沃#沃尔沃汽车#940#940#2.3T 自动 165hp
RVV0323M0044	沃尔沃#沃尔沃汽车#940#940#2.3 手动 155hp
RVV0320M0033	沃尔沃#沃尔沃汽车#940#940 Travel#2.0 手动
RVV0320M0034	沃尔沃#沃尔沃汽车#940#940 Travel#2.0T 手动
RVV0323A0074	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 自动 131hp
RVV0323A0075	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 自动 155hp
RVV0323A0076	沃尔沃#沃尔沃汽车#940#940 Travel#2.3T 自动 135hp
RVV0323A0073	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 自动 116hp
RVV0323M0075	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 手动 155hp
RVV0323M0073	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 手动 116hp
RVV0323M0074	沃尔沃#沃尔沃汽车#940#940 Travel#2.3 手动 131hp
RVV0323M0076	沃尔沃#沃尔沃汽车#940#940 Travel#2.3T 手动 135hp
RVV0324A0041	沃尔沃#沃尔沃汽车#940#940 Travel#2.4T 自动 TD 109hp柴油版
RVV0324A0042	沃尔沃#沃尔沃汽车#940#940 Travel#2.4T 自动 TD 122hp柴油版
RVV0324M0049	沃尔沃#沃尔沃汽车#940#940 Travel#2.4T 手动 TD 109hp柴油版
RVV0324M0051	沃尔沃#沃尔沃汽车#940#940 Travel#2.4 手动 D 82hp柴油版
RVV0324M0050	沃尔沃#沃尔沃汽车#940#940 Travel#2.4T 手动 TD 122hp柴油版
GSK0113M0007	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia [弗雷西亚]#1.3 手动
GSK0116M0007	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia [弗雷西亚]#1.6 手动
GSK0119M0007	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia [弗雷西亚]#1.9 手动
GSK0113M0014	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia Combi [弗雷西亚 旅行车]#1.3 手动
GSK0116M0014	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia Combi [弗雷西亚 旅行车]#1.6 手动
GSK0119M0014	斯柯达#大众汽车#Felicia [弗雷西亚]#Felicia Combi [弗雷西亚 旅行车]#1.9 手动
RVV0424A0004	沃尔沃#沃尔沃汽车#960#960#2.4T 自动 TDiesel柴油版
RVV0425A0004	沃尔沃#沃尔沃汽车#960#960#2.5 自动
RVV0429A0008	沃尔沃#沃尔沃汽车#960#960#2.9 自动
RVV0425M0004	沃尔沃#沃尔沃汽车#960#960#2.5 手动
RVV0425A0008	沃尔沃#沃尔沃汽车#960#960 Travel#2.5 自动
RVV0425M0008	沃尔沃#沃尔沃汽车#960#960 Travel#2.5 手动
RVV0429A0012	沃尔沃#沃尔沃汽车#960#960 Travel#2.9 自动
RVV0520A0006	沃尔沃#沃尔沃汽车#850#850#2.0 自动
RVV0520M0006	沃尔沃#沃尔沃汽车#850#850#2.0 手动
RVV0523A0012	沃尔沃#沃尔沃汽车#850#850#2.3T 自动
RVV0523A0013	沃尔沃#沃尔沃汽车#850#850#2.3T 自动 226hp
RVV0523M0014	沃尔沃#沃尔沃汽车#850#850#2.3T 手动
RVV0523M0011	沃尔沃#沃尔沃汽车#850#850#2.3T 手动 R
RVV0524A0023	沃尔沃#沃尔沃汽车#850#850#2.4 自动 170hp
RVV0524A0024	沃尔沃#沃尔沃汽车#850#850#2.4T 自动
RVV0524A0021	沃尔沃#沃尔沃汽车#850#850#2.4 自动 140hp
RVV0524A0022	沃尔沃#沃尔沃汽车#850#850#2.4 自动 144hp
RVV0524M0024	沃尔沃#沃尔沃汽车#850#850#2.4T 手动
RVV0524M0021	沃尔沃#沃尔沃汽车#850#850#2.4 手动 140hp
RVV0524M0022	沃尔沃#沃尔沃汽车#850#850#2.4 手动 144hp
RVV0524M0023	沃尔沃#沃尔沃汽车#850#850#2.4 手动 170hp
RVV0525M0006	沃尔沃#沃尔沃汽车#850#850#2.5T 手动 柴油版
RVV0523M0015	沃尔沃#沃尔沃汽车#850#850#2.3T 手动 226hp
RVV0523A0005	沃尔沃#沃尔沃汽车#850#850#2.3T 自动 白金限量版
RVV0520A0011	沃尔沃#沃尔沃汽车#850#850 Travel#2.0 自动
RVV0520M0011	沃尔沃#沃尔沃汽车#850#850 Travel#2.0 手动
RVV0523A0022	沃尔沃#沃尔沃汽车#850#850 Travel#2.3T 自动 226hp
RVV0523M0020	沃尔沃#沃尔沃汽车#850#850 Travel#2.3T 手动 226hp
RVV0523M0023	沃尔沃#沃尔沃汽车#850#850 Travel#2.3T 手动 R
RVV0524A0044	沃尔沃#沃尔沃汽车#850#850 Travel#2.4T 自动
RVV0524A0041	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 自动 140hp
RVV0524A0042	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 自动 144hp
RVV0524A0043	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 自动 170hp
RVV0524M0041	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 手动 140hp
RVV0524M0042	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 手动 144hp
RVV0524M0043	沃尔沃#沃尔沃汽车#850#850 Travel#2.4 手动 170hp
RVV0524M0044	沃尔沃#沃尔沃汽车#850#850 Travel#2.4T 手动
RVV0525M0015	沃尔沃#沃尔沃汽车#850#850 Travel#2.5T 手动 柴油版
RVV0523A0021	沃尔沃#沃尔沃汽车#850#850 Travel#2.3T 自动 R
RVV0523A0017	沃尔沃#沃尔沃汽车#850#850 Travel#2.3T 自动 白金限量版
RVV0620A0004	沃尔沃#沃尔沃汽车#S70#S70#2.0 自动
RVV0623A0007	沃尔沃#沃尔沃汽车#S70#S70#2.3T 自动 T5
RVV0623A0006	沃尔沃#沃尔沃汽车#S70#S70#2.3T 自动 R
