CBL0130M0004	三菱#北京吉普#帕杰罗速跑#帕杰罗速跑#3.0 手动 GLS
GBZ0225M0012	奔驰#奔驰汽车#E-Class [E级]#190 D#2.5T 手动
GBZ0225M0018	奔驰#奔驰汽车#E-Class [E级]#E 250 D Tourer#2.5 手动 柴油版
GBZ0225A0006	奔驰#奔驰汽车#E-Class [E级]#E 250 D Tourer#2.5 自动 柴油版
GBZ0226M0010	奔驰#奔驰汽车#E-Class [E级]#260 E#2.6 手动 158hp
GBZ0230M0006	奔驰#奔驰汽车#E-Class [E级]#300 E#3.0 手动 180hp
GBZ0226M0011	奔驰#奔驰汽车#E-Class [E级]#300 E#2.6 手动
GBZ0227M0008	奔驰#奔驰汽车#E-Class [E级]#E 270 CDI Tourer#2.7 手动 柴油版
GBZ0228M0016	奔驰#奔驰汽车#E-Class [E级]#E 280 Tourer#2.8 手动 V6
GBZ0228M0015	奔驰#奔驰汽车#E-Class [E级]#E 280 Tourer#2.8 手动 V6 四驱版
GBZ0228M0019	奔驰#奔驰汽车#E-Class [E级]#E 280 Tourer#2.8 手动
GBZ0230M0029	奔驰#奔驰汽车#E-Class [E级]#E 280 Tourer#3.0 手动 V6 四驱版
GBZ0230M0031	奔驰#奔驰汽车#E-Class [E级]#E 280 Tourer#3.0 手动 V6
GBZ0229A0007	奔驰#奔驰汽车#E-Class [E级]#E 300 Tourer#2.9 手自一体 四驱版
GBZ0229M0004	奔驰#奔驰汽车#E-Class [E级]#E 290 Tourer#2.9T 手动 柴油版
GBZ0229A0004	奔驰#奔驰汽车#E-Class [E级]#E 290 Tourer#2.9T 自动 柴油版
GBZ0230M0020	奔驰#奔驰汽车#E-Class [E级]#E 280 CDI Tourer#3.0T 手动 V6 四驱柴油版
GBZ0230M0030	奔驰#奔驰汽车#E-Class [E级]#E 280 CDI Tourer#3.0T 手动 V6 柴油版
GBZ0230M0034	奔驰#奔驰汽车#E-Class [E级]#E 300 D Tourer#3.0 手动 柴油版
GBZ0232M0007	奔驰#奔驰汽车#E-Class [E级]#E 320 Tourer#3.2 手动
GBZ0232M0003	奔驰#奔驰汽车#E-Class [E级]#320 E#3.2 手动
GBZ0242A0004	奔驰#奔驰汽车#E-Class [E级]#420 E#4.2 自动
GBZ0242M0002	奔驰#奔驰汽车#E-Class [E级]#420 E#4.2 手动
GBZ0242A0008	奔驰#奔驰汽车#E-Class [E级]#E 420 Tourer#4.2 自动 V8
GBZ0250M0005	奔驰#奔驰汽车#E-Class [E级]#500 E#5.0 手动
GBZ0316M0008	奔驰#奔驰汽车#C-Class [C级]#C 180 K#1.6T 手动 BlueEfficiency
GBZ0316M0002	奔驰#奔驰汽车#C-Class [C级]#C 180 K Tourer#1.6 手动
GBZ0323M0015	奔驰#奔驰汽车#C-Class [C级]#C 230 K#2.3T 手动
GBZ0323M0008	奔驰#奔驰汽车#C-Class [C级]#C 230 K Coupe#2.3T 手动 Sport
GBZ0323M0012	奔驰#奔驰汽车#C-Class [C级]#C 230 K Tourer#2.3T 手动
GBZ0232M0004	奔驰#奔驰汽车#E-Class [E级]#300 TE#3.2 手动
GBZ0322A0022	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI#2.2 自动 柴油版
GBZ0322M0022	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI#2.2 手动 柴油版
GBZ0322A0018	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI Tourer#2.2 自动 柴油版
GBZ0322M0018	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI Tourer#2.2 手动 柴油版
GBZ0322A0020	奔驰#奔驰汽车#C-Class [C级]#C 220 Tourer#2.2 自动 柴油版
GBZ0322M0020	奔驰#奔驰汽车#C-Class [C级]#C 220 Tourer#2.2 手动 柴油版
GBZ0322M0021	奔驰#奔驰汽车#C-Class [C级]#C 220#2.2 手动
GBZ0322A0021	奔驰#奔驰汽车#C-Class [C级]#C 220#2.2 自动
GBZ0323M0014	奔驰#奔驰汽车#C-Class [C级]#C 230 Tourer#2.3 手动
GBZ0324A0008	奔驰#奔驰汽车#C-Class [C级]#C 240#2.4 自动
GBZ0326M0011	奔驰#奔驰汽车#C-Class [C级]#C 240#2.6 手动 V6
GBZ0324M0008	奔驰#奔驰汽车#C-Class [C级]#C 240#2.4 手动
GBZ0324M0007	奔驰#奔驰汽车#C-Class [C级]#C 240 Tourer#2.4 手动 V6
GBZ0326M0012	奔驰#奔驰汽车#C-Class [C级]#C 240 Tourer#2.6 手动 V6
GBZ0324A0007	奔驰#奔驰汽车#C-Class [C级]#C 240 Tourer#2.4 自动 V6
GBZ0327M0015	奔驰#奔驰汽车#C-Class [C级]#C 270 CDI#2.7T 手动 柴油版
GBZ0327M0007	奔驰#奔驰汽车#C-Class [C级]#C 270 CDI Tourer#2.7T 手动 柴油版
GBZ0328A0012	奔驰#奔驰汽车#C-Class [C级]#C 280#2.8 自动
GBZ0328M0012	奔驰#奔驰汽车#C-Class [C级]#C 280#2.8 手动
GBZ0330M0023	奔驰#奔驰汽车#C-Class [C级]#C 280#3.0 手动 V6
GBZ0328A0011	奔驰#奔驰汽车#C-Class [C级]#C 280 Tourer#2.8 自动 V6
GBZ0330M0010	奔驰#奔驰汽车#C-Class [C级]#C 280 Tourer#3.0 手动 V6
GBZ0328M0011	奔驰#奔驰汽车#C-Class [C级]#C 280 Tourer#2.8 手动 V6
GBZ0330M0027	奔驰#奔驰汽车#C-Class [C级]#C 320 CDI#3.0T 手动 柴油版
GBZ0330M0011	奔驰#奔驰汽车#C-Class [C级]#C 320 CDI Tourer#3.0T 手动 V6 柴油版
GBZ0332M0013	奔驰#奔驰汽车#C-Class [C级]#C 320#3.2 手动 V6
GBZ0332M0004	奔驰#奔驰汽车#C-Class [C级]#C 320 Coupe#3.2 手动 V6 Sport
GBZ0332M0008	奔驰#奔驰汽车#C-Class [C级]#C 320 Tourer#3.2 手动 V6
GBZ0335M0017	奔驰#奔驰汽车#C-Class [C级]#C 350#3.5 手动 V6
GBZ0335M0013	奔驰#奔驰汽车#C-Class [C级]#C 350 Coupe#3.5 手动 V6
GBZ0335M0004	奔驰#奔驰汽车#C-Class [C级]#C 350 Tourer#3.5 手动 V6
GBZ0443A0004	奔驰#奔驰汽车#C-Class AMG [C级 AMG]#C43 AMG#4.3 自动 V8
GBZ0714M0008	奔驰#奔驰汽车#A-Class [A级]#A 140#1.4 手动
GBZ0715M0009	奔驰#奔驰汽车#A-Class [A级]#A 150#1.5 手动
GBZ0716M0010	奔驰#奔驰汽车#A-Class [A级]#A 160#1.6 手动
GBZ0717M0024	奔驰#奔驰汽车#A-Class [A级]#A 170#1.7 手动
GBZ0717M0015	奔驰#奔驰汽车#A-Class [A级]#A 170 CDI#1.7T 手动
GBZ0717M0023	奔驰#奔驰汽车#A-Class [A级]#A 170 CDI#1.7 手动
GBZ0717M0022	奔驰#奔驰汽车#A-Class [A级]#A 160 CDI#1.7 手动
GBZ0720M0040	奔驰#奔驰汽车#A-Class [A级]#A 160 CDI#2.0T 手动
GBZ0719M0008	奔驰#奔驰汽车#A-Class [A级]#A 190#1.9 手动
GBZ0720M0044	奔驰#奔驰汽车#A-Class [A级]#A 200#2.0T 手动
GBZ0720M0043	奔驰#奔驰汽车#A-Class [A级]#A 200#2.0 手动
GBZ0720M0042	奔驰#奔驰汽车#A-Class [A级]#A 200 CDI#2.0T 手动
GBZ0721M0008	奔驰#奔驰汽车#A-Class [A级]#A 210 Evolution#2.1 手动
GBZ0843A0005	奔驰#奔驰汽车#M-Class [M级]#ML 430#4.3 自动 V8
GBZ0436A0003	奔驰#奔驰汽车#C-Class AMG [C级 AMG]#C36 AMG#3.6 自动
GBZ1632M0008	奔驰#奔驰汽车#Viano [唯雅诺]#Viano [唯雅诺]#3.2 手动
GBZ0720M0041	奔驰#奔驰汽车#A-Class [A级]#A 180 CDI#2.0T 手动
GBZ2520M0004	奔驰#奔驰汽车#B-Class [B级]#B 200#2.0 手动
JHD0116M0008	本田#本田汽车#Accord [雅阁]#Accord-R [雅阁-欧版]#1.6 手动
JHD0120A0012	本田#本田汽车#Accord [雅阁]#Accord-R [雅阁-欧版]#2.0 自动
JHD0118A0003	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#1.8i 自动
JHD0120A0009	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.0 自动
JHD0122A0033	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.2 自动 LX
JHD0122A0031	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.2 自动 DX
JHD0123M0023	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.3 手动 DX
JHD0123M0025	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.3 手动 LX
JHD0123M0024	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.3 手动 EX
JHD0127A0005	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.7 自动 EX
JHD0127A0006	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.7 自动 LX
JHD0122A0032	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.2 自动 EX
JHD0122A0024	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.2 自动 25th 纪念版
JHD0122A0012	本田#本田汽车#Accord [雅阁]#Accord Coupe [雅阁 Coupe]#2.2 自动 LX
JHD0122A0011	本田#本田汽车#Accord [雅阁]#Accord Coupe [雅阁 Coupe]#2.2 自动 EX
JHD0123M0010	本田#本田汽车#Accord [雅阁]#Accord Coupe [雅阁 Coupe]#2.3 手动 LX
JHD0123M0009	本田#本田汽车#Accord [雅阁]#Accord Coupe [雅阁 Coupe]#2.3 手动 EX
JHD0122A0010	本田#本田汽车#Accord [雅阁]#Accord Coupe [雅阁 Coupe]#2.2 自动 DX
JHD0122A0019	本田#本田汽车#Accord [雅阁]#Accord Tourer [雅阁 旅行车]#2.2 自动 EX
JHD0122A0020	本田#本田汽车#Accord [雅阁]#Accord Tourer [雅阁 旅行车]#2.2 自动 LX
JHD0232A0005	本田#本田汽车#Legend [里程]#Legend [里程]#3.2 自动
JHD0235M0009	本田#本田汽车#Legend [里程]#Legend [里程]#3.5 手动
JHD0318M0102	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 EX L
JHD0318M0104	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 LE限量版
JHD0318M0100	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 DX VP
JHD0318M0105	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 LX
JHD0318M0103	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 EX导航版
JHD0318M0106	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 LX S
JHD0318M0101	本田#本田汽车#Civic [思域]#Civic-Sedan [思域-三厢]#1.8 手动 EX
JHD0416A0007	本田#本田汽车#CR-X#CR-X-Del-Sol#1.6 自动
JHD0416M0007	本田#本田汽车#CR-X#CR-X-Del-Sol#1.6 手动
JHD0520A0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.0i 自动
JHD0520M0010	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.0i 手动
JHD0522A0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2VTi 自动
JHD0522M0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2VTi 手动
JHD0522M0010	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2i 手动
JHD0523M0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.3i 手动
JHD0632M0025	本田#本田汽车#Passport#Passport#3.2 手动 四驱 EX
JHD0632M0027	本田#本田汽车#Passport#Passport#3.2 手动 四驱 LX
JHD0632M0026	本田#本田汽车#Passport#Passport#3.2 手动 LX
JHD0626M0003	本田#本田汽车#Passport#Passport#2.6 手动 DX
JHD0722A0007	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.2 自动 EX
JHD0722A0008	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.2 自动 LX
JHD0724C0018	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.4i 无级 VTEC M
JHD0724C0017	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.4i 无级 VTEC Li
JHD0724C0016	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.4i 无级 VTEC L
JHD0824M0005	本田#本田汽车#CR-V#CR-V#2.4 手动
JHD0822A0003	本田#本田汽车#CR-V#CR-V#2.2CDTi 自动 柴油
JHD0913M0006	本田#本田汽车#Fit [飞度]#Fit [飞度]#1.3 手动
JHD1110M0007	本田#本田汽车#Insight [音赛特]#Insight [音赛特]#1.0 手动
FPZ0114M0010	标致#标致汽车#405#405#1.4 手动
FPZ0116A0010	标致#标致汽车#405#405#1.6i 手自一体
FPZ0116M0010	标致#标致汽车#405#405#1.6i 手动
FPZ0116M0020	标致#标致汽车#405#405#1.6 手动
FPZ0118M0010	标致#标致汽车#405#405#1.8T 手动 HDi
FPZ0119A0010	标致#标致汽车#405#405#1.9i 手自一体 110hp
FPZ0119A0020	标致#标致汽车#405#405#1.9i 手自一体 125hp
FPZ0119A0030	标致#标致汽车#405#405#1.9i 手自一体 160hp
FPZ0119M0010	标致#标致汽车#405#405#1.9i 手动 110hp
FPZ0119M0020	标致#标致汽车#405#405#1.9i 手动 125hp
FPZ0119M0030	标致#标致汽车#405#405#1.9i 手动 160hp
FPZ0119M0040	标致#标致汽车#405#405#1.9 手动
FPZ0119M0050	标致#标致汽车#405#405#1.9 手动 HDi
FPZ0116M0029	标致#标致汽车#405#405 SW#1.6i 手动
FPZ0116M0038	标致#标致汽车#405#405 SW#1.6 手动
FPZ0118M0019	标致#标致汽车#405#405 SW#1.8T 手动 HDi
FPZ0119A0039	标致#标致汽车#405#405 SW#1.9i 手自一体 110hp
FPZ0119M0059	标致#标致汽车#405#405 SW#1.9i 手动 110hp
FPZ0119M0068	标致#标致汽车#405#405 SW#1.9i 手动 125hp
FPZ0119M0077	标致#标致汽车#405#405 SW#1.9 手动
FPZ0119M0086	标致#标致汽车#405#405 SW#1.9 手动 HDi
FPZ0218M0005	标致#标致汽车#806#806#1.8 手动
FPZ0316M0005	标致#标致汽车#406#406#1.6 手动
FPZ0319M0009	标致#标致汽车#406#406#1.9THDi 手动 75hp
FPZ0319M0010	标致#标致汽车#406#406#1.9THDi 手动 90hp
FPZ0321M0005	标致#标致汽车#406#406#2.1THDi 手动
FPZ0330M0011	标致#标致汽车#406#406#3.0 手动 V6
FPZ0319M0017	标致#标致汽车#406#406 SW#1.9THDi 手动 75hp
FPZ0319M0018	标致#标致汽车#406#406 SW#1.9THDi 手动 90hp
FPZ0321M0009	标致#标致汽车#406#406 SW#2.1THDi 手动
FPZ0330M0029	标致#标致汽车#406#406 SW#3.0 手动 V6
FPZ0330M0020	标致#标致汽车#406#406 Coupe#3.0 手动 V6
FPZ0414M0105	标致#标致汽车#206#206#1.4 手动 三门版
FPZ0414M0104	标致#标致汽车#206#206#1.4 手动 五门版
FPZ0416M0103	标致#标致汽车#206#206#1.6 手动 五门版
FPZ0419M0010	标致#标致汽车#206#206#1.9HDi 手动 五门版
FPZ0419M0009	标致#标致汽车#206#206#1.9HDi 手动 三门版
FPZ0414M0106	标致#标致汽车#206#206 Sedan#1.4 手动
FPZ0416M0104	标致#标致汽车#206#206 Sedan#1.6 手动
FPZ0516M0100	标致#标致汽车#307#307 SW#1.6 手动 16V 5座版
FPZ0927M0009	标致#标致汽车#407#407 Coupe#2.7HDi 手动 V6
FPZ0930M0009	标致#标致汽车#407#407 Coupe#3.0 手动 V6
FPZ0520M0114	标致#标致汽车#307#307-Sedan [307-三厢]#2.0 手动
FPZ1016A0009	标致#标致汽车#1007#1007#1.6 自动
FPZ1110M0016	标致#标致汽车#107#107#1.0 手动 五门版
FPZ1110M0015	标致#标致汽车#107#107#1.0 手动 三门版
FPZ1216M0114	标致#标致汽车#207#207#1.6 手动 VTi 三门版
FPZ1216M0116	标致#标致汽车#207#207#1.6 手动 VTi 五门版
FPZ1216M0112	标致#标致汽车#207#207 SW#1.6 手动 16V
FPZ1216M0110	标致#标致汽车#207#207 CC#1.6 手动
FPZ1416M0101	标致#标致汽车#308#308#1.6 手动 120hp 三门版
FPZ1416M0107	标致#标致汽车#308#308#1.6 手动 VTi 五门版
FPZ1416M0125	标致#标致汽车#308#308 SW#1.6 手动 VTi 5座
FPZ1416M0123	标致#标致汽车#308#308 SW#1.6 手动 VTi 7座
AGB0130A0001	别克#通用汽车#Electra#Electra#3.0 自动
AGB0138A0001	别克#通用汽车#Electra#Electra#3.8 自动
AGB0238A0019	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动 Superc harged
AGB0238A0018	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动
AGB0238A0025	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动 Ultra
AGB0433A0007	别克#通用汽车#Skylark [云雀]#Skylark [云雀]#3.3 自动 Gran Sport
AGB0550A0006	别克#通用汽车#Roadmaster [路霸]#Roadmaster [路霸]#5.0 自动
AGB0557A0006	别克#通用汽车#Roadmaster [路霸]#Roadmaster [路霸]#5.7 自动
AGB0731A0010	别克#通用汽车#Century [世纪]#Century [世纪]#3.1 自动
AGB0838A0016	别克#通用汽车#Regal [皇朝]#Regal [皇朝]#3.8 自动 Superc harged
AGB0838A0015	别克#通用汽车#Regal [皇朝]#Regal [皇朝]#3.8 自动
EBL0168A0037	宾利#宾利汽车#Continental [欧陆]#Continental [欧陆]#6.8T 自动 V8 405hp
EBL0168A0038	宾利#宾利汽车#Continental [欧陆]#Continental [欧陆]#6.8T 自动 V8 426hp
EBL0168A0052	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 385hp
EBL0168A0051	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 320hp
EBL0168A0053	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 426hp
KDW0120M0008	大宇#大宇汽车#Espero [贵族]#Espero [贵族]#2.0 手动
KDW0315A0004	大宇#大宇汽车#Cielo [蓝天]#Cielo [蓝天]#1.5 自动 90HP
KDW0315M0007	大宇#大宇汽车#Cielo [蓝天]#Cielo [蓝天]#1.5 手动
GVW0116M0020	大众#大众汽车#Jetta [捷达]#Jetta5 [捷达 五代]#1.6 手动
GVW0125M0009	大众#大众汽车#Jetta [捷达]#Jetta5 [捷达 五代]#2.5 手动
GVW0116M0023	大众#大众汽车#Jetta [捷达]#Jetta3 [捷达 三代]#1.6 手动
GVW0116M0024	大众#大众汽车#Jetta [捷达]#Jetta4 [捷达 四代]#1.6 手动
GVW0123M0007	大众#大众汽车#Jetta [捷达]#Jetta4 VR5 [捷达 四代 VR5]#2.3 手动
GVW0128M0007	大众#大众汽车#Jetta [捷达]#Jetta3 VR6 [捷达 三代 VR6]#2.8 手动
GVW0128M0014	大众#大众汽车#Jetta [捷达]#Jetta4 VR6 [捷达 四代 VR6]#2.8 手动
GVW0220M0008	大众#大众汽车#Caravelle [卡罗瓦雷]#Caravelle [卡罗瓦雷]#2.0 手动 T5
GVW0220M0021	大众#大众汽车#Caravelle [卡罗瓦雷]#Caravelle [卡罗瓦雷]#2.0 手动 T4
GVW0225M0008	大众#大众汽车#Caravelle [卡罗瓦雷]#Caravelle [卡罗瓦雷]#2.5 手动 T5
GVW0225M0021	大众#大众汽车#Caravelle [卡罗瓦雷]#Caravelle [卡罗瓦雷]#2.5 手动 T4
GVW0318M0037	大众#大众汽车#Golf [高尔夫]#Golf Cabrio [高尔夫 敞篷车]#1.8 手动 75hp
GVW0318M0047	大众#大众汽车#Golf [高尔夫]#Golf Cabrio [高尔夫 敞篷车]#1.8 手动 90hp
GVW0319M0104	大众#大众汽车#Golf [高尔夫]#Golf Cabrio [高尔夫 敞篷车]#1.9TDI 手动 110hp 柴油版
GVW0319M0114	大众#大众汽车#Golf [高尔夫]#Golf Cabrio [高尔夫 敞篷车]#1.9TDI 手动 90hp 柴油版
GVW0318M0026	大众#大众汽车#Golf [高尔夫]#Golf Wagon [高尔夫 旅行车]#1.8 手动 75hp
GVW0318M0027	大众#大众汽车#Golf [高尔夫]#Golf Wagon [高尔夫 旅行车]#1.8 手动 90hp
GVW0319A0174	大众#大众汽车#Golf [高尔夫]#Golf Wagon [高尔夫 旅行车]#1.9SDI 手自一体 柴油
GVW0319A0166	大众#大众汽车#Golf [高尔夫]#Golf Wagon [高尔夫 旅行车]#1.9 手自一体 柴油
GVW0314M0120	大众#大众汽车#Golf [高尔夫]#Golf#1.4TSI 手动 三门版
GVW0314M0125	大众#大众汽车#Golf [高尔夫]#Golf#1.4TSI 手动 五门版
GVW0314M0109	大众#大众汽车#Golf [高尔夫]#Golf#1.4 手动 16V 三门版
GVW0314M0115	大众#大众汽车#Golf [高尔夫]#Golf#1.4 手动 16V 五门版
GVW0318M0013	大众#大众汽车#Golf [高尔夫]#Golf#1.8T 手动
GVW0318M0067	大众#大众汽车#Golf [高尔夫]#Golf#1.8 手动 三门版
GVW0318M0060	大众#大众汽车#Golf [高尔夫]#Golf#1.8 手动 五门版
GVW0319M0123	大众#大众汽车#Golf [高尔夫]#Golf#1.9 手动 三门柴油版
GVW0319M0161	大众#大众汽车#Golf [高尔夫]#Golf#1.9TDI 手动 三门柴油版
GVW0319M0136	大众#大众汽车#Golf [高尔夫]#Golf#1.9 手动 五门柴油版
GVW0319M0166	大众#大众汽车#Golf [高尔夫]#Golf#1.9TDI 手动 五门柴油版
GVW0328A0015	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手自一体 V6 三门版
GVW0328A0016	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手自一体 V6 五门版
GVW0328M0020	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手动 V6 三门版
GVW0328M0027	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手动 V6 五门版
GVW0328A0027	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手自一体 三门版
GVW0328A0026	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手自一体 五门版
GVW0328M0007	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手动 三门版
GVW0328M0013	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手动 五门版
GVW0329A0007	大众#大众汽车#Golf [高尔夫]#Golf VR6 Syncro#2.9 手自一体
GVW0329M0007	大众#大众汽车#Golf [高尔夫]#Golf VR6 Syncro#2.9 手动
GVW0419M0030	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#1.9TDI 手动 柴油版
GVW0423M0013	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#2.3 手动 V5
GVW0425M0013	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#2.5TDI 手动 柴油版
GVW0428M0025	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#2.8 手动 V6
GVW0432M0004	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#3.2FSI 手动 V6
GVW0440M0006	大众#大众汽车#Passat [帕萨特]#Passat Variant [帕萨特 旅行车]#4.0 手动 W8
GVW0419M0012	大众#大众汽车#Passat [帕萨特]#Passat B5 [帕萨特B5]#1.9TDI 手动 柴油版
GVW0423M0009	大众#大众汽车#Passat [帕萨特]#Passat B5 [帕萨特B5]#2.3 手动 V5
GVW0425M0009	大众#大众汽车#Passat [帕萨特]#Passat B5 [帕萨特B5]#2.5TDI 手动 柴油版
GVW0428M0021	大众#大众汽车#Passat [帕萨特]#Passat B5 [帕萨特B5]#2.8 手动 V6豪华型
GVW0419M0015	大众#大众汽车#Passat [帕萨特]#Passat B4 [帕萨特B4]#1.9TDI 手动 柴油版
GVW0423M0003	大众#大众汽车#Passat [帕萨特]#Passat Variant VR5 [帕萨特 旅行车 VR5]#2.3 手动
GVW0428M0015	大众#大众汽车#Passat [帕萨特]#Passat Variant VR6 [帕萨特 旅行车 VR6]#2.8 手动
GVW0428M0008	大众#大众汽车#Passat [帕萨特]#PassatB3 VR6 [帕萨特B3 VR6]#2.8 手动
GVW0519M0015	大众#大众汽车#Sharan [夏朗]#Sharan [夏朗]#1.9TDI 手动
GVW0520M0016	大众#大众汽车#Sharan [夏朗]#Sharan [夏朗]#2.0T 手动
GVW0528M0018	大众#大众汽车#Sharan [夏朗]#Sharan [夏朗]#2.8 手动 V6
GVW0623A0008	大众#大众汽车#Beetle [甲壳虫]#Beetle [甲壳虫]#2.3 手自一体 V5
GVW0712A0029	大众#大众汽车#POLO [波罗]#POLO [波罗]#1.2 手自一体 三门版
GVW0712A0024	大众#大众汽车#POLO [波罗]#Cross POLO#1.2 手自一体
GVW0716A0012	大众#大众汽车#POLO [波罗]#Cross POLO#1.6 手自一体
GVW0719A0012	大众#大众汽车#POLO [波罗]#Cross POLO#1.9TDI 手自一体
GVW0428M0006	大众#大众汽车#Passat [帕萨特]#Passat B4 VR6 [帕萨特B4 VR6]#2.8 手动
GVW1120M0003	大众#大众汽车#Magotan [迈腾]#Magotan [迈腾]#2.0FSI 手动
GVW1214A0008	大众#大众汽车#Caddy [开迪]#Caddy [开迪]#1.4 手自一体
GVW1219A0008	大众#大众汽车#Caddy [开迪]#Caddy [开迪]#1.9TDI 手自一体 柴油版
GVW1332M0006	大众#大众汽车#Eos#Eos#3.2 手动
ACD0125M0005	道奇#克莱斯勒#Caravan [凯领]#Caravan [凯领]#2.5 手动
ACD0230A0012	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0T 自动
ACD0230A0011	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0 自动
ACD0230M0012	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0T 手动
ACD0230M0011	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0 手动
ACD0439A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#3.9 自动
ACD0439M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#3.9 手动
ACD0452A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.2 自动
ACD0452M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.2 手动
ACD0459A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 自动
ACD0459M0019	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 手动
ACD0459M0020	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 手动 柴油
ACD0480M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#8.0 手动
ACD0527A0007	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#2.7 自动
ACD0532A0007	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.2 自动
ACD0533A0005	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.3 自动
ACD0535A0012	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.5 自动
ACD0620M0007	道奇#克莱斯勒#Stratus[层云]#Stratus[层云]#2.0 手动
ACD0624A0007	道奇#克莱斯勒#Stratus[层云]#Stratus[层云]#2.4 自动 150hp
